type,dropout,middle layers,learning rate,4.0 epochs,8.0 epochs,12.0 epochs,16.0 epochs,20.0 epochs,24.0 epochs,28.0 epochs,32.0 epochs,36.0 epochs,40.0 epochs,44.0 epochs,48.0 epochs,52.0 epochs,56.0 epochs,60.0 epochs,64.0 epochs,68.0 epochs,72.0 epochs,76.0 epochs,80.0 epochs,84.0 epochs,88.0 epochs,92.0 epochs,96.0 epochs,100.0 epochs,104.0 epochs,108.0 epochs,112.0 epochs,116.0 epochs,120.0 epochs,124.0 epochs,128.0 epochs,132.0 epochs,136.0 epochs,140.0 epochs,144.0 epochs,148.0 epochs,152.0 epochs,156.0 epochs,160.0 epochs,164.0 epochs,168.0 epochs,172.0 epochs,176.0 epochs,180.0 epochs,184.0 epochs,188.0 epochs,192.0 epochs,196.0 epochs,200.0 epochs,
training,0,1,0.01,0.577988344,0.608843548,0.610787179,0.606171046,0.612973767,0.608843539,0.618804676,0.625121483,0.622448981,0.647716233,0.631195341,0.647473276,0.653061228,0.623177843,0.640427598,0.65694849,0.67055394,0.62827989,0.672983485,0.660835768,0.65694849,0.657191455,0.687803703,0.680029154,0.691448007,0.684159373,0.686345969,0.692419827,0.685617115,0.689990291,0.675413021,0.702623912,0.694606415,0.721574349,0.707968908,0.717687079,0.725704576,0.712585032,0.721817298,0.702623904,0.742468425,0.69703596,0.741982511,0.734207971,0.715014585,0.711856169,0.731535486,0.720359581,0.714042766,0.684645295,
validation,0,1,0.01,0.593294459,0.599125368,0.596209918,0.604956278,0.603498544,0.60787172,0.600583085,0.600583085,0.612244904,0.613702621,0.61661808,0.612244896,0.61953353,0.606414003,0.61661808,0.628279882,0.622448972,0.612244904,0.623906715,0.620991256,0.629737616,0.625364431,0.625364431,0.631195341,0.634110791,0.634110791,0.637026233,0.641399409,0.604956261,0.61953353,0.602040815,0.631195332,0.644314868,0.635568517,0.629737607,0.618075797,0.638483967,0.631195332,0.634110783,0.619533522,0.639941692,0.626822157,0.632653066,0.635568508,0.641399418,0.626822157,0.642857143,0.638483959,0.634110774,0.632653058,0.632653058
training,0,1,0.001,0.58794948,0.610301265,0.627551019,0.641885315,0.666666661,0.661564623,0.681972802,0.67444121,0.678328472,0.675655987,0.704567543,0.727891156,0.715014577,0.729348872,0.73517979,0.749757034,0.755587944,0.761418853,0.779154514,0.767249746,0.751214777,0.784742466,0.779640436,0.801506306,0.813654031,0.813168117,0.782798835,0.811467443,0.809037907,0.833090373,0.832361511,0.792759972,0.840621957,0.837463558,0.860544213,0.844995141,0.853012638,0.855685132,0.861273084,0.855199218,0.874392612,0.864188552,0.869290565,0.883381929,0.876822148,0.886054431,0.890427606,0.902818263,0.905247808,0.906462584,
validation,0,1,0.001,0.571428571,0.599125368,0.593294467,0.603498544,0.603498544,0.59912536,0.606413995,0.613702621,0.609329437,0.587463549,0.596209901,0.616618071,0.615160338,0.600583085,0.60787172,0.612244896,0.626822157,0.594752184,0.616618071,0.607871711,0.616618063,0.603498553,0.622448972,0.61661808,0.620991247,0.610787179,0.619533522,0.609329445,0.62682214,0.612244887,0.613702612,0.612244887,0.629737607,0.618075805,0.606413986,0.622448972,0.613702621,0.620991239,0.597667626,0.604956269,0.623906706,0.615160338,0.619533513,0.616618063,0.622448972,0.610787162,0.604956261,0.612244887,0.600583094,0.616618063,0.616618063
training,0,1,0.0001,0.553449963,0.563654048,0.574344013,0.579203112,0.592565596,0.59305151,0.59888242,0.60787172,0.613945578,0.620991264,0.627793976,0.632167161,0.637026242,0.637026242,0.640913504,0.649173958,0.655490756,0.657434404,0.663022348,0.665937807,0.669582129,0.673712347,0.675170072,0.677599617,0.679543248,0.681486879,0.683916424,0.685860055,0.689990282,0.694363458,0.692905733,0.697278917,0.69606414,0.691690956,0.698736651,0.700437324,0.706511174,0.706997088,0.709912539,0.710398444,0.715500482,0.718901839,0.716715268,0.721088435,0.717201173,0.72351798,0.720116624,0.730563658,0.733722057,0.725704568,
validation,0,1,0.0001,0.53935859,0.559766752,0.558309036,0.55685131,0.558309036,0.572886305,0.574344022,0.577259472,0.572886288,0.571428571,0.578717198,0.575801747,0.577259481,0.584548107,0.580174931,0.593294459,0.587463558,0.591836725,0.587463558,0.584548107,0.586005824,0.590379008,0.588921283,0.590379008,0.588921283,0.584548107,0.600583085,0.597667634,0.597667634,0.594752184,0.591836733,0.597667634,0.600583085,0.596209901,0.600583085,0.606413995,0.60204081,0.60787172,0.606413986,0.606413986,0.59912536,0.600583085,0.600583085,0.609329445,0.604956252,0.604956261,0.607871711,0.612244896,0.603498544,0.60787172,0.60787172
training,0,2,0.01,0.58090379,0.600097188,0.621720118,0.622448981,0.625364423,0.637026242,0.641156461,0.627793985,0.64625849,0.657434404,0.666180755,0.663022356,0.659620992,0.646987362,0.67346939,0.674198253,0.644557825,0.655247808,0.680272111,0.675170064,0.679786197,0.681243922,0.700194367,0.714528663,0.664480082,0.705053449,0.702380947,0.718172976,0.718415942,0.724975697,0.688775505,0.714771611,0.721331384,0.731778417,0.720602521,0.732993194,0.708940727,0.721817298,0.736394559,0.740524777,0.749514086,0.754859081,0.747327498,0.733236143,0.772351801,0.756316815,0.740281829,0.745626824,0.728377061,0.724489791,
validation,0,2,0.01,0.588921283,0.593294459,0.594752184,0.596209909,0.60787172,0.610787179,0.618075797,0.612244896,0.603498544,0.623906706,0.623906706,0.634110783,0.610787179,0.628279882,0.588921274,0.628279882,0.609329445,0.620991256,0.597667634,0.626822157,0.612244904,0.620991247,0.603498535,0.623906706,0.615160355,0.613702629,0.626822157,0.625364431,0.618075797,0.613702621,0.613702621,0.645772593,0.632653058,0.629737616,0.620991256,0.616618071,0.623906698,0.634110783,0.647230319,0.61953353,0.616618071,0.618075805,0.622448981,0.622448981,0.61953353,0.641399418,0.60787172,0.607871711,0.615160355,0.625364431,0.625364431
training,0,2,0.001,0.604470355,0.622206032,0.651846443,0.660349854,0.661564623,0.673469382,0.682944604,0.697521865,0.720359572,0.717930036,0.727162293,0.747570464,0.746598644,0.775510209,0.779397471,0.761661811,0.810252666,0.816083576,0.792274049,0.824829928,0.824586979,0.843780364,0.853255587,0.851311948,0.876093294,0.855442175,0.851311956,0.884839645,0.89188534,0.860058308,0.892857143,0.887512147,0.900388726,0.911807588,0.920553931,0.926627789,0.940962102,0.936588917,0.935617106,0.943877552,0.944606423,0.952866869,0.948007779,0.951895033,0.942662776,0.967930027,0.962099126,0.958454805,0.967444122,0.967687079,
validation,0,2,0.001,0.587463558,0.584548099,0.600583085,0.600583094,0.594752184,0.610787179,0.616618071,0.610787162,0.597667643,0.615160346,0.618075805,0.60787172,0.612244904,0.604956269,0.591836742,0.615160346,0.607871728,0.606413995,0.623906706,0.623906706,0.61661808,0.6341108,0.623906698,0.620991256,0.648688052,0.629737607,0.644314877,0.632653066,0.641399418,0.622448981,0.625364431,0.620991256,0.634110791,0.645772593,0.628279882,0.639941692,0.638483959,0.613702629,0.613702629,0.618075797,0.616618088,0.618075805,0.626822174,0.638483967,0.620991256,0.626822157,0.620991256,0.61953353,0.620991256,0.609329454,0.609329454
