type,dropout,middle layers,learning rate,10.0 epochs,20.0 epochs,30.0 epochs,40.0 epochs,50.0 epochs,60.0 epochs,70.0 epochs,80.0 epochs,90.0 epochs,100.0 epochs,110.0 epochs,120.0 epochs,130.0 epochs,140.0 epochs,150.0 epochs,160.0 epochs,170.0 epochs,180.0 epochs,190.0 epochs,200.0 epochs,210.0 epochs,220.0 epochs,230.0 epochs,240.0 epochs,250.0 epochs,260.0 epochs,270.0 epochs,280.0 epochs,290.0 epochs,300.0 epochs,310.0 epochs,320.0 epochs,330.0 epochs,340.0 epochs,350.0 epochs,360.0 epochs,370.0 epochs,380.0 epochs,390.0 epochs,400.0 epochs,410.0 epochs,420.0 epochs,430.0 epochs,440.0 epochs,450.0 epochs,460.0 epochs,470.0 epochs,480.0 epochs,490.0 epochs,500.0 epochs
training,0,1,0.01,0.610787179,0.620019436,0.622934886,0.63532556,0.637512147,0.650631683,0.641642366,0.66666667,0.679057326,0.656948481,0.676384824,0.701895041,0.693877535,0.711856169,0.700194359,0.700680273,0.726676379,0.727891147,0.725704568,0.732993194,0.730563658,0.731292512,0.734207971,0.72351798,0.74416909,0.726190482,0.734450919,0.728862967,0.711370264,0.738824095,0.727162293,0.737123413,0.745626816,0.717930027,0.727891147,0.747813412,0.735665696,0.746841592,0.750971803,0.758746352,0.771865887,0.736880456,0.760447025,0.77259475,0.744655005,0.76773566,0.749757034,0.780126333,0.77259475,0.761175888
validation,0,1,0.01,0.60204081,0.613702621,0.59912536,0.619533522,0.599125368,0.606413986,0.604956261,0.606413986,0.612244896,0.59912536,0.591836725,0.606413986,0.61078717,0.613702621,0.596209909,0.61078717,0.609329445,0.612244896,0.622448981,0.615160346,0.622448972,0.609329445,0.618075797,0.607871711,0.626822148,0.61078717,0.615160346,0.612244887,0.619533522,0.628279882,0.612244896,0.616618071,0.613702621,0.622448972,0.613702621,0.626822148,0.625364431,0.60787172,0.61078717,0.606413986,0.612244896,0.607871711,0.60204081,0.616618071,0.613702629,0.612244896,0.60787172,0.609329445,0.603498535,0.606413986
training,0,1,0.001,0.638726916,0.667395524,0.698493685,0.714528663,0.747570464,0.769922248,0.771379973,0.796404268,0.798590864,0.828717189,0.8568999,0.863945578,0.859329445,0.883624877,0.895286696,0.914480082,0.919096206,0.910106889,0.928571429,0.924927107,0.952380955,0.961613221,0.948493677,0.951166178,0.968901847,0.955296414,0.967444122,0.977648199,0.983236151,0.983722057,0.980563649,0.986151602,0.991739546,0.982993194,0.981049555,0.985179782,0.972546152,0.989552958,0.996598635,0.995383867,0.99514091,0.992225468,0.997813404,0.97351798,0.995383867,0.991739554,0.999028189,0.995383867,0.998785232,0.997813412
validation,0,1,0.001,0.593294459,0.61078717,0.622448989,0.610787179,0.597667643,0.597667634,0.603498544,0.615160346,0.60787172,0.603498527,0.604956269,0.61078717,0.610787162,0.618075788,0.612244896,0.60204081,0.607871703,0.612244896,0.602040802,0.597667634,0.616618063,0.613702621,0.603498544,0.603498544,0.609329428,0.626822157,0.619533522,0.626822157,0.625364423,0.609329445,0.609329437,0.635568508,0.610787162,0.616618063,0.613702612,0.607871711,0.609329437,0.618075805,0.604956261,0.600583085,0.603498535,0.596209901,0.603498535,0.597667626,0.609329437,0.594752184,0.594752175,0.600583076,0.600583085,0.59329445
training,0,1,0.001,0.624149672,0.652332357,0.682458699,0.708940727,0.713556852,0.736637516,0.781584076,0.772351801,0.787172019,0.805393594,0.825801764,0.848639463,0.841836733,0.864431483,0.871963067,0.880466478,0.906462601,0.883381929,0.908406224,0.92541303,0.930029162,0.950194367,0.934888252,0.947764822,0.928571429,0.930272111,0.964285723,0.965257525,0.948250737,0.966472311,0.946793011,0.972060246,0.972060246,0.962099118,0.971331384,0.97837707,0.977162293,0.983965014,0.968901847,0.958697762,0.961370255,0.975704576,0.986637524,0.987366378,0.984693876,0.968172984,0.985665705,0.987609335,0.989795923,0.970602529
validation,0,1,0.001,0.622448981,0.628279882,0.625364431,0.623906706,0.631195341,0.629737607,0.655976679,0.628279882,0.619533522,0.639941684,0.62827989,0.647230319,0.631195341,0.65306122,0.615160355,0.622448972,0.6341108,0.61953353,0.647230319,0.635568517,0.644314868,0.639941692,0.639941692,0.645772602,0.631195332,0.634110783,0.644314877,0.645772593,0.637026242,0.64431486,0.623906706,0.645772593,0.634110783,0.637026242,0.632653058,0.639941684,0.629737607,0.634110791,0.632653058,0.626822148,0.631195341,0.632653066,0.626822157,0.632653066,0.62827989,0.626822165,0.628279899,0.62827989,0.629737616,0.623906706
training,0,2,0.01,0.616132174,0.617103985,0.628036933,0.650631692,0.67055394,0.655247825,0.679300291,0.702380947,0.727648207,0.701166187,0.708211848,0.70869777,0.743926142,0.711127315,0.733479108,0.74003888,0.758503403,0.730077744,0.747570455,0.728134113,0.750000009,0.745626816,0.761904759,0.785471329,0.784985415,0.781584067,0.780126333,0.794703594,0.808066087,0.780855204,0.808551984,0.80296404,0.76360545,0.795918371,0.77526726,0.818513121,0.820213803,0.807823139,0.817541301,0.827745378,0.810495632,0.820213795,0.821914477,0.809037907,0.827016524,0.828231301,0.811224495,0.844266278,0.821185614,0.84013606
validation,0,2,0.01,0.606413995,0.606413995,0.623906698,0.609329454,0.609329445,0.618075805,0.607871728,0.622448981,0.638483959,0.629737599,0.604956278,0.603498544,0.62827989,0.613702621,0.622448981,0.622448981,0.629737607,0.61953353,0.61953353,0.637026242,0.635568508,0.620991256,0.631195341,0.61078717,0.604956269,0.609329454,0.616618071,0.618075805,0.613702629,0.613702621,0.620991256,0.616618071,0.603498553,0.612244904,0.625364431,0.61953353,0.625364431,0.600583085,0.607871728,0.60787172,0.613702629,0.604956269,0.61661808,0.603498544,0.626822157,0.612244896,0.591836742,0.607871728,0.620991247,0.619533522
training,0,2,0.001,0.650874632,0.679543257,0.715014577,0.7334791,0.748785232,0.790816324,0.83430515,0.838435377,0.845481064,0.904275996,0.929543248,0.923955287,0.935374141,0.94120505,0.960398453,0.965500491,0.966472311,0.978377061,0.989067061,0.973032074,0.973517988,0.99028182,0.955782311,0.992954322,0.987366378,0.997084541,0.998785232,0.999271137,0.998785232,0.999028189,0.995869773,0.995626824,0.998299318,1,1,0.969387753,0.996598635,0.999757043,1,1,1,1,1,1,1,1,1,1,1,1
validation,0,2,0.001,0.587463549,0.604956269,0.612244904,0.613702629,0.619533522,0.625364431,0.644314868,0.604956269,0.623906698,0.639941684,0.639941692,0.632653075,0.634110791,0.6355685,0.645772585,0.628279882,0.629737616,0.642857143,0.6355685,0.628279882,0.654518953,0.653061228,0.622448981,0.644314877,0.655976687,0.638483967,0.639941692,0.638483976,0.632653066,0.638483967,0.650145778,0.642857143,0.632653066,0.639941692,0.632653075,0.631195341,0.632653066,0.631195341,0.635568517,0.629737616,0.629737616,0.639941701,0.644314877,0.641399426,0.63702625,0.642857151,0.642857151,0.639941701,0.644314877,0.6341108
