,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_6.mid",10.0, 6.0, 5.0, 3.0, 36.0, 0.04, 0.56, 0.4, 3.0, 2.0, 71.0, 4.52, 67.0, 7.0, 0.2, 0.34, 1.0, 0.8235, 5.0, 2.0, 6.94, 2.873, 4.841, -0.4323, -0.5012, 2.181, 11.7, 5.494, 4.647, 0.0, 67.0, 7.0, 43.0, 7.0, 2.0, 5.02, 3.0, 3.0, 0.3673, 0.5556, 0.3265, 0.02041, 0.04082, 0.4082, 0.1224, 0.2041, 0.0, 0.1837, 0.0, 0.0, 0.0, 0.06122, 2.0, 0.04, 0.3333, 1.714, 7.75, 4.447, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.5089, 0.5089, 0.2531, 9.0, 9.0, 3.0, 0.02, 0.14, 0.62, 0.38, 0.06, 0.42, 0.25, 8.0, 1.97, 1.0, 0.26, 0.8462, 1.0, 1.754, 1.659, 8.192, 1.19, 1.0, 0.4547, 0.105, 0.0, 0.2468, 0.05089, 0.05089, 0.05089, 3.0, 3.0, 1.25, 1.25, 1.0, 1.0, 1.19, 1.19, 0.0, 5.0, 10.0, 5.0, 119.0, 158.0, 1.328, 0.26, 0.18, 1.444, 0.44, 0.0318, 0.0, 0.2, 145.0, 145.0, 8.385E-12, 40.66, 1.23, 0.5725, 0.7979, 0.7979, 0.6717, 0.6717, 0.1034, 2.931, 0.7717, 0.6505, 0.0, 6.0, 11.0, 7.0, 144.0, 191.0, 1.326, 0.2063, 0.1429, 1.444, 0.3492, 0.02762, 0.0, 0.4286
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_7.mid",9.0, 5.0, 6.0, 3.0, 41.0, 0.04, 0.4, 0.56, 3.0, 2.0, 73.0, 4.5, 77.0, 7.0, 0.2, 0.4, 1.0, 0.8, 2.0, 2.0, 8.723, 2.787, 4.916, -1.328, -0.5383, 1.916, 10.31, 5.391, 4.832, 0.0, 43.0, 7.0, 67.0, 7.0, 2.0, 4.776, 3.0, 3.0, 0.3469, 0.7647, 0.3673, 0.08163, 0.0, 0.3469, 0.02041, 0.2653, 0.0, 0.2449, 0.0, 0.0, 0.02041, 0.02041, 0.0, 0.0, 0.3556, 1.452, 7.387, 2.902, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.5063, 0.5063, 0.1817, 8.0, 8.0, 3.0, 0.04, 0.06, 0.58, 0.4, 0.04, 0.48, 0.25, 6.0, 1.985, 0.75, 0.3, 0.8, 1.0, 1.583, 1.867, 5.988, 1.471, 1.0, 0.5066, 0.105, 0.0, 0.2148, 0.0481, 0.0481, 0.0481, 3.0, 3.0, 1.188, 1.188, 1.0, 1.0, 1.248, 1.248, 0.0, 5.0, 8.0, 5.0, 119.0, 178.0, 1.496, 0.2308, 0.2308, 1.0, 0.4615, 0.03135, 0.2, 0.2, 145.0, 145.0, 8.811E-12, 40.86, 1.224, 0.5477, 0.7874, 0.7874, 0.6663, 0.6663, 0.1034, 2.069, 0.7779, 0.6112, 0.0, 5.0, 10.0, 5.0, 144.0, 44.0, 3.273, 0.2222, 0.1852, 1.2, 0.4074, 0.02883, 0.0, 0.4
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_8.mid",13.0, 9.0, 4.0, 1.0, 21.0, 0.0, 0.76, 0.24, 3.0, 2.0, 69.0, 5.94, 70.0, 10.0, 0.28, 0.28, 0.4286, 0.5, 1.0, 8.0, 4.46, 3.661, 4.335, -0.148, -0.8686, -2.035, 7.36, 4.966, 4.564, 0.0, 60.0, 0.0, 62.0, 2.0, 2.0, 2.449, 3.0, 1.0, 0.2857, 0.8571, 0.4082, 0.2245, 0.2449, 0.5306, 0.1224, 0.02041, 0.0, 0.04082, 0.0, 0.0, 0.02041, 0.04082, 1.0, 0.0, 0.5526, 2.0, 6.053, 4.594, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.943, 1.943, 1.107, 4.0, 5.0, 3.0, 0.44, 0.72, 0.56, 0.0, 0.0, 0.18, 0.25, 1.5, 0.5, 0.25, 0.44, 0.6364, 1.0, 0.2901, 0.0, 7.846, 2.632, 1.0, 3.077, 0.008958, 0.01042, 0.003651, 0.04614, 0.04614, 0.04614, 0.75, 0.75, 0.75, 0.75, 0.75, 0.75, 0.0, 0.0, 0.0, 5.0, 10.0, 10.0, 80.0, 60.0, 1.333, 0.1362, 0.1319, 1.032, 0.2681, 0.02509, 0.0, 0.3, 140.0, 140.0, 4.718E-12, 11.03, 4.533, 1.73, 0.2208, 0.2208, 0.138, 0.138, 0.1027, 0.6429, 0.2104, 0.1254, 0.0, 3.0, 12.0, 12.0, 94.0, 70.0, 1.343, 0.1164, 0.1127, 1.032, 0.2291, 0.02288, 0.0, 0.3333
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_9.mid",13.0, 8.0, 2.0, 1.0, 21.0, 0.0, 0.8, 0.2, 4.0, 2.0, 68.0, 5.64, 70.0, 10.0, 0.28, 0.32, 0.3571, 0.5, 5.0, 5.0, 5.458, 3.784, 4.316, -1.077, 0.5074, -1.501, 5.69, 4.845, 4.904, 0.0, 63.0, 3.0, 60.0, 0.0, 2.0, 3.082, 3.0, 2.0, 0.3469, 0.6471, 0.3878, 0.2245, 0.1224, 0.4694, 0.102, 0.08163, 0.0, 0.02041, 0.0, 0.02041, 0.02041, 0.06122, 1.5, 0.0, 0.5789, 2.0, 7.053, 4.242, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.175, 2.175, 0.505, 4.0, 5.0, 3.0, 0.58, 0.76, 0.42, 0.0, 0.0, 0.2, 0.25, 1.5, 0.44, 0.25, 0.58, 0.3103, 1.0, 0.2746, 2.076, 9.603, 2.632, 1.0, 3.7, 0.01292, 0.01042, 0.02233, 0.07114, 0.07114, 0.07114, 0.5104, 0.5104, 0.3958, 0.3958, 0.5104, 0.5104, 0.1985, 0.1985, 0.0, 4.0, 10.0, 10.0, 159.0, 80.0, 1.988, 0.1197, 0.1042, 1.148, 0.2239, 0.02267, 0.0, 0.2, 140.0, 140.0, 4.662E-12, 9.853, 5.075, 0.2548, 0.1967, 0.1967, 0.1199, 0.1199, 0.1027, 0.5714, 0.183, 0.1132, 0.0, 1.0, 12.0, 12.0, 186.0, 94.0, 1.979, 0.1033, 0.09667, 1.069, 0.2, 0.02059, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_10.mid",15.0, 7.0, 3.0, 2.0, 47.0, 0.1, 0.18, 0.72, 1.0, 3.0, 72.0, 5.98, 79.0, 7.0, 0.34, 0.42, 0.5882, 0.619, 2.0, 2.0, 12.2, 2.378, 4.35, -1.175, -1.287, 1.503, 9.667, 7.162, 5.28, 0.0, 60.0, 0.0, 77.0, 5.0, 2.0, 8.959, 1.0, 2.0, 0.6735, 0.09091, 0.08163, 0.06122, 0.04082, 0.7143, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.02041, 0.2041, 0.0, 0.02, 0.5435, 1.394, 13.24, 2.242, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.869, 1.869, 0.7008, 4.0, 3.0, 1.0, 0.8, 0.92, 0.2, 0.0, 0.0, 0.08, 0.25, 1.5, 0.38, 0.25, 0.8, 0.15, 1.0, 0.3435, 1.136, 13.65, 3.846, 2.0, 4.896, 0.0, 0.0, 0.0, 0.2897, 0.2897, 0.2897, 2.0, 2.0, 0.5167, 0.5167, 0.25, 0.25, 0.6085, 0.6085, 0.0, 3.0, 10.0, 10.0, 159.0, 120.0, 1.325, 0.1582, 0.1173, 1.348, 0.2755, 0.02486, 0.0, 0.2, 140.0, 140.0, 4.747E-12, 11.46, 4.361, 1.033, 0.2295, 0.2295, 0.2487, 0.2487, 0.1071, 0.6429, 0.1629, 0.1472, 0.0, 1.0, 12.0, 12.0, 186.0, 140.0, 1.329, 0.1303, 0.09664, 1.348, 0.2269, 0.02246, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_11.mid",23.0, 12.0, 4.0, 1.0, 55.0, 0.04, 0.22, 0.74, 4.0, 3.0, 76.0, 6.04, 79.0, 7.0, 0.18, 0.26, 0.5556, 0.5385, 2.0, 7.0, 10.4, 3.344, 4.185, -0.6924, -0.8613, 1.147, 11.65, 5.677, 4.869, 0.0, 79.0, 7.0, 79.0, 7.0, 2.0, 6.0, 4.0, 2.0, 0.3469, 0.4118, 0.2857, 0.1429, 0.102, 0.449, 0.1224, 0.04082, 0.0, 0.0, 0.08163, 0.0, 0.02041, 0.1429, 0.2, 0.02, 0.5714, 1.273, 8.848, 4.167, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 2.299, 2.299, 0.4201, 4.0, 3.0, 1.0, 0.8, 0.94, 0.2, 0.0, 0.0, 0.06, 0.25, 1.5, 0.36, 0.25, 0.8, 0.175, 1.0, 0.3037, 1.087, 16.95, 3.571, 1.0, 4.799, 0.0, 0.0, 0.0, 0.1724, 0.1724, 0.1724, 2.0, 2.0, 0.5357, 0.5357, 0.25, 0.25, 0.6524, 0.6524, 0.0, 5.0, 10.0, 10.0, 159.0, 120.0, 1.325, 0.1254, 0.1147, 1.094, 0.2401, 0.02439, 0.0, 0.2, 140.0, 140.0, 4.605E-12, 9.321, 5.364, 2.025, 0.1836, 0.1836, 0.1978, 0.1978, 0.1071, 0.6429, 0.1543, 0.1302, 0.0, 1.0, 12.0, 12.0, 186.0, 140.0, 1.329, 0.1064, 0.09726, 1.094, 0.2036, 0.02212, 0.0, 0.25
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_12.mid",22.0, 9.0, 3.0, 2.0, 41.0, 0.08, 0.26, 0.66, 4.0, 3.0, 72.0, 5.48, 76.0, 4.0, 0.14, 0.22, 0.8571, 0.9091, 3.0, 7.0, 9.211, 3.541, 2.119, -0.7557, 1.254, -0.05664, 7.765, 5.275, 6.523, 0.0, 88.0, 4.0, 65.0, 5.0, 1.0, 6.347, 4.0, 1.0, 0.2245, 0.9091, 0.2653, 0.04082, 0.2245, 0.4286, 0.1837, 0.1224, 0.0, 0.02041, 0.02041, 0.02041, 0.0, 0.1633, 3.5, 0.0, 0.4468, 1.741, 11.48, 6.536, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.509, 1.509, 0.7744, 5.0, 6.0, 2.0, 0.3, 0.68, 0.7, 0.04, 0.0, 0.18, 0.25, 2.0, 0.61, 0.5, 0.38, 0.7895, 1.0, 0.417, 0.7914, 10.13, 1.852, 1.0, 1.199, 0.0, 0.0, 0.0, 0.07925, 0.07925, 0.07925, 1.0, 1.0, 0.4375, 0.4375, 0.375, 0.375, 0.3036, 0.3036, 0.0, 2.0, 20.0, 11.0, 60.0, 80.0, 1.333, 0.1173, 0.102, 1.15, 0.2194, 0.02022, 0.0, 0.1818, 155.0, 155.0, 1.168E-11, 12.82, 3.899, 1.107, 0.2348, 0.2348, 0.1434, 0.1434, 0.09677, 0.7742, 0.2361, 0.1614, 0.3, 1.0, 22.0, 13.0, 78.0, 103.0, 1.321, 0.1009, 0.08772, 1.15, 0.1886, 0.0177, 0.07692, 0.2308
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_13.mid",17.0, 8.0, 4.0, 2.0, 41.0, 0.1, 0.1, 0.8, 4.0, 2.0, 74.0, 5.28, 76.0, 4.0, 0.16, 0.22, 0.875, 1.0, 3.0, 7.0, 10.05, 3.659, 2.03, -0.4774, 1.049, 0.0, 8.497, 5.278, 6.383, 0.0, 88.0, 4.0, 73.0, 1.0, 1.0, 7.612, 4.0, 1.0, 0.2449, 0.8333, 0.2245, 0.04082, 0.2449, 0.449, 0.1429, 0.102, 0.0, 0.02041, 0.0, 0.02041, 0.0, 0.2245, 6.0, 0.0, 0.4255, 1.808, 14.23, 7.357, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 1.66, 1.66, 0.1783, 4.0, 5.0, 2.0, 0.38, 0.74, 0.62, 0.0, 0.0, 0.18, 0.25, 1.5, 0.52, 0.25, 0.38, 0.9474, 1.0, 0.3066, 0.1957, 8.88, 2.0, 2.0, 1.354, 0.0, 0.0, 0.0, 0.1369, 0.1369, 0.1369, 1.0, 1.0, 0.5156, 0.5156, 0.5, 0.5, 0.3235, 0.3235, 0.0, 2.0, 20.0, 11.0, 60.0, 159.0, 2.65, 0.1122, 0.102, 1.1, 0.2143, 0.01991, 0.0, 0.1818, 155.0, 155.0, 1.052E-11, 11.66, 4.288, 0.8489, 0.2229, 0.2229, 0.1327, 0.1327, 0.09677, 0.5806, 0.2013, 0.1187, 0.38, 0.0, 22.0, 13.0, 78.0, 103.0, 1.321, 0.09778, 0.08444, 1.158, 0.1822, 0.01719, 0.07692, 0.2308
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_14.mid",10.0, 8.0, 4.0, 1.0, 14.0, 0.0, 0.82, 0.18, 3.0, 4.0, 70.0, 4.58, 72.0, 0.0, 0.3, 0.3, 0.6, 0.6, 4.0, 8.0, 3.205, 3.959, 4.363, -0.6179, 1.197, -2.104, 6.404, 4.772, 4.506, 0.0, 63.0, 3.0, 72.0, 0.0, 2.0, 1.694, 4.0, 1.0, 0.3061, 0.8667, 0.3878, 0.2449, 0.2653, 0.5714, 0.1224, 0.04082, 0.0, 0.02041, 0.0, 0.0, 0.0, 0.0, 0.2, 0.0, 0.5946, 1.947, 4.105, 4.421, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.9679, 0.9679, 0.1721, 7.0, 6.0, 3.0, 0.26, 0.3, 0.6, 0.14, 0.0, 0.4, 0.25, 4.0, 1.045, 0.75, 0.32, 0.8125, 2.0, 1.027, 0.8615, 9.255, 1.471, 1.0, 0.8611, 0.041, 0.008333, 0.03912, 0.007905, 0.007905, 0.007904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 9.0, 8.0, 120.0, 60.0, 2.0, 0.1827, 0.1538, 1.188, 0.3365, 0.02665, 0.0, 0.375, 140.0, 140.0, 4.832E-12, 22.14, 2.258, 0.2222, 0.4425, 0.4425, 0.4438, 0.4438, 0.1036, 1.711, 0.4393, 0.4398, 0.0, 4.0, 10.0, 8.0, 139.0, 70.0, 1.986, 0.1881, 0.1584, 1.188, 0.3465, 0.02574, 0.0, 0.125
"D:\AlphaProject\_PythonML\pythonProject\melodies\title_halved\title_halved_15.mid",10.0, 8.0, 4.0, 1.0, 14.0, 0.0, 0.76, 0.24, 3.0, 4.0, 70.0, 4.72, 72.0, 0.0, 0.24, 0.24, 0.75, 0.75, 4.0, 8.0, 3.327, 3.833, 4.262, -0.4688, 1.346, -1.971, 6.173, 4.83, 4.541, 0.0, 74.0, 2.0, 72.0, 0.0, 1.0, 1.959, 4.0, 1.0, 0.3061, 1.0, 0.3469, 0.1837, 0.3061, 0.6122, 0.1224, 0.04082, 0.0, 0.02041, 0.0, 0.02041, 0.0, 0.0, 0.2, 0.0, 0.575, 1.905, 4.333, 4.711, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 50.0, 0.9259, 0.9259, 0.09466, 7.0, 6.0, 3.0, 0.24, 0.28, 0.6, 0.16, 0.0, 0.44, 0.25, 4.0, 1.095, 0.75, 0.34, 0.7059, 2.0, 1.058, 0.9782, 8.458, 1.515, 1.0, 0.8704, 0.04133, 0.008333, 0.03948, 0.007716, 0.007716, 0.007716, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 5.0, 9.0, 8.0, 120.0, 178.0, 1.483, 0.165, 0.1553, 1.063, 0.3204, 0.02642, 0.0, 0.375, 140.0, 140.0, 4.86E-12, 23.14, 2.16, 0.2646, 0.4629, 0.4629, 0.4581, 0.4581, 0.1036, 1.711, 0.4593, 0.4541, 0.0, 4.0, 10.0, 8.0, 139.0, 70.0, 1.986, 0.17, 0.15, 1.133, 0.32, 0.02517, 0.0, 0.125
