,Number_of_Pitches,Number_of_Pitch_Classes,Number_of_Common_Pitches,Number_of_Common_Pitch_Classes,Range,Importance_of_Bass_Register,Importance_of_Middle_Register,Importance_of_High_Register,Dominant_Spread,Strong_Tonal_Centres,Mean_Pitch,Mean_Pitch_Class,Most_Common_Pitch,Most_Common_Pitch_Class,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Interval_Between_Most_Prevalent_Pitches,Interval_Between_Most_Prevalent_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Pitch_Class_Variability_After_Folding,Pitch_Skewness,Pitch_Class_Skewness,Pitch_Class_Skewness_After_Folding,Pitch_Kurtosis,Pitch_Class_Kurtosis,Pitch_Class_Kurtosis_After_Folding,Major_or_Minor,First_Pitch,First_Pitch_Class,Last_Pitch,Last_Pitch_Class,Most_Common_Melodic_Interval,Mean_Melodic_Interval,Number_of_Common_Melodic_Intervals,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Amount_of_Arpeggiation,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Minor_Major_Melodic_Third_Ratio,Melodic_Embellishments,Direction_of_Melodic_Motion,Average_Length_of_Melodic_Arcs,Average_Interval_Spanned_by_Melodic_Arcs,Melodic_Pitch_Variety,Simple_Initial_Meter,Compound_Initial_Meter,Complex_Initial_Meter,Duple_Initial_Meter,Triple_Initial_Meter,Quadruple_Initial_Meter,Metrical_Diversity,Total_Number_of_Notes,Note_Density_per_Quarter_Note,Note_Density_per_Quarter_Note_per_Voice,Note_Density_per_Quarter_Note_Variability,Range_of_Rhythmic_Values,Number_of_Different_Rhythmic_Values_Present,Number_of_Common_Rhythmic_Values_Present,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Dotted_Notes,Shortest_Rhythmic_Value,Longest_Rhythmic_Value,Mean_Rhythmic_Value,Most_Common_Rhythmic_Value,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Difference_Between_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Rhythmic_Value_Skewness,Rhythmic_Value_Kurtosis,Mean_Rhythmic_Value_Run_Length,Median_Rhythmic_Value_Run_Length,Variability_in_Rhythmic_Value_Run_Lengths,Mean_Rhythmic_Value_Offset,Median_Rhythmic_Value_Offset,Variability_of_Rhythmic_Value_Offsets,Complete_Rests_Fraction,Partial_Rests_Fraction,Average_Rest_Fraction_Across_Voices,Longest_Complete_Rest,Longest_Partial_Rest,Mean_Complete_Rest_Duration,Mean_Partial_Rest_Duration,Median_Complete_Rest_Duration,Median_Partial_Rest_Duration,Variability_of_Complete_Rest_Durations,Variability_of_Partial_Rest_Durations,Variability_Across_Voices_of_Combined_Rests,Number_of_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Moderate_Rhythmic_Pulses_-_Tempo_Standardized,Number_of_Relatively_Strong_Rhythmic_Pulses_-_Tempo_Standardized,Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Harmonicity_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Strength_of_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_of_Second_Strongest_Rhythmic_Pulse_-_Tempo_Standardized,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses_-_Tempo_Standardized,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Looseness_-_Tempo_Standardized,Polyrhythms_-_Tempo_Standardized,Initial_Tempo,Mean_Tempo,Tempo_Variability,Duration_in_Seconds,Note_Density,Note_Density_Variability,Average_Time_Between_Attacks,Average_Time_Between_Attacks_for_Each_Voice,Variability_of_Time_Between_Attacks,Average_Variability_of_Time_Between_Attacks_for_Each_Voice,Minimum_Note_Duration,Maximum_Note_Duration,Average_Note_Duration,Variability_of_Note_Durations,Amount_of_Staccato,Number_of_Strong_Rhythmic_Pulses,Number_of_Moderate_Rhythmic_Pulses,Number_of_Relatively_Strong_Rhythmic_Pulses,Strongest_Rhythmic_Pulse,Second_Strongest_Rhythmic_Pulse,Harmonicity_of_Two_Strongest_Rhythmic_Pulses,Strength_of_Strongest_Rhythmic_Pulse,Strength_of_Second_Strongest_Rhythmic_Pulse,Strength_Ratio_of_Two_Strongest_Rhythmic_Pulses,Combined_Strength_of_Two_Strongest_Rhythmic_Pulses,Rhythmic_Variability,Rhythmic_Looseness,Polyrhythms
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_1.mid",26.0, 12.0, 3.0, 0.0, 36.0, 0.0, 0.08, 0.92, 3.0, 4.0, 81.0, 5.19, 83.0, 11.0, 0.13, 0.14, 0.7692, 0.9286, 2.0, 11.0, 6.618, 3.964, 3.532, -0.7298, 0.1438, 0.4162, 7.671, 4.71, 5.028, 0.0, 81.0, 9.0, 86.0, 2.0, 1.0, 4.475, 5.0, 1.0, 0.1717, 0.8824, 0.4444, 0.101, 0.1717, 0.3232, 0.2222, 0.06061, 0.0202, 0.0202, 0.1111, 0.08081, 0.0101, 0.05051, 1.0, 0.03, 0.5393, 1.816, 8.939, 6.22, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.873, 2.873, 0.3529, 2.0, 3.0, 2.0, 0.7, 1.0, 0.3, 0.0, 0.0, 0.0, 0.125, 0.5, 0.3075, 0.25, 0.56, 0.5357, 1.0, 0.1335, 1.293, 5.033, 2.0, 1.0, 1.325, 0.05917, 0.0625, 0.03719, 0.1514, 0.1514, 0.1514, 0.1875, 0.1875, 0.1319, 0.1319, 0.125, 0.125, 0.02858, 0.02858, 0.0, 0.0, 30.0, 23.0, 41.0, 43.0, 1.049, 0.03676, 0.02941, 1.25, 0.06618, 0.007825, 12.13, 0.2174, 120.0, 120.0, 0.0, 17.41, 5.745, 0.6269, 0.164, 0.164, 0.05675, 0.05675, 0.01042, 0.2812, 0.1477, 0.05439, 0.18, 0.0, 30.0, 23.0, 41.0, 43.0, 1.049, 0.03676, 0.02941, 1.25, 0.06618, 0.007825, 12.13, 0.2174
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_10.mid",34.0, 12.0, 0.0, 0.0, 38.0, 0.24, 0.66, 0.1, 4.0, 3.0, 61.0, 5.85, 69.0, 11.0, 0.08, 0.13, 0.75, 0.8462, 6.0, 5.0, 9.353, 3.58, 3.137, -0.3047, -0.1257, 0.4112, 5.597, 4.898, 5.251, 0.0, 63.0, 3.0, 58.0, 10.0, 4.0, 4.879, 5.0, 1.0, 0.1616, 0.8125, 0.5253, 0.08081, 0.1111, 0.1414, 0.2929, 0.1111, 0.07071, 0.09091, 0.1313, 0.05051, 0.0, 0.0303, 0.8125, 0.05, 0.5165, 1.717, 9.019, 6.526, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.83, 2.83, 0.2425, 3.0, 4.0, 2.0, 0.75, 0.99, 0.25, 0.0, 0.0, 0.01, 0.125, 0.75, 0.3025, 0.25, 0.65, 0.3692, 1.0, 0.1283, 1.227, 6.536, 2.174, 1.0, 1.664, 0.06375, 0.0625, 0.03637, 0.1616, 0.1616, 0.1616, 0.2083, 0.2083, 0.1491, 0.1491, 0.1458, 0.1458, 0.03126, 0.03126, 0.0, 0.0, 29.0, 21.0, 43.0, 41.0, 1.049, 0.03933, 0.03933, 1.0, 0.07867, 0.007837, 13.29, 0.2381, 120.0, 120.0, 0.0, 17.67, 5.66, 0.1885, 0.1667, 0.1667, 0.05506, 0.05506, 0.01042, 0.3229, 0.1481, 0.05013, 0.14, 0.0, 29.0, 21.0, 43.0, 41.0, 1.049, 0.03933, 0.03933, 1.0, 0.07867, 0.007837, 13.29, 0.2381
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_100.mid",24.0, 12.0, 4.0, 0.0, 30.0, 0.0, 0.21, 0.79, 2.0, 4.0, 75.0, 5.4, 77.0, 5.0, 0.13, 0.16, 0.8462, 0.875, 1.0, 1.0, 5.917, 3.045, 3.592, -0.5273, -0.5911, -0.3007, 7.508, 5.43, 5.014, 0.0, 79.0, 7.0, 73.0, 1.0, 1.0, 3.434, 4.0, 2.0, 0.2828, 0.6071, 0.4343, 0.1111, 0.2828, 0.3636, 0.2121, 0.101, 0.0303, 0.07071, 0.05051, 0.0303, 0.0101, 0.0202, 4.25, 0.01, 0.5341, 1.725, 6.627, 4.839, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 3.05, 3.05, 1.433, 2.0, 3.0, 3.0, 0.72, 1.0, 0.28, 0.0, 0.0, 0.0, 0.125, 0.5, 0.3013, 0.25, 0.57, 0.4912, 1.0, 0.1319, 1.166, 5.171, 2.222, 2.0, 1.55, 0.05854, 0.0625, 0.04184, 0.1213, 0.1213, 0.1213, 0.1875, 0.1875, 0.1366, 0.1366, 0.1458, 0.1458, 0.02967, 0.02967, 0.0, 0.0, 23.0, 18.0, 43.0, 51.0, 1.186, 0.04261, 0.02841, 1.5, 0.07102, 0.007913, 8.333, 0.2778, 120.0, 120.0, 0.0, 16.4, 6.099, 0.8876, 0.1537, 0.1537, 0.04861, 0.04861, 0.05208, 0.2292, 0.1441, 0.04772, 0.22, 0.0, 23.0, 18.0, 43.0, 51.0, 1.186, 0.04261, 0.02841, 1.5, 0.07102, 0.007913, 8.333, 0.2778
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_11.mid",34.0, 12.0, 0.0, 0.0, 37.0, 0.0, 0.22, 0.78, 2.0, 4.0, 80.0, 5.17, 89.0, 4.0, 0.07, 0.13, 0.8571, 0.8462, 16.0, 3.0, 8.809, 3.343, 3.509, -0.5823, 0.1526, 0.4018, 5.215, 4.994, 4.931, 0.0, 62.0, 2.0, 85.0, 1.0, 2.0, 5.222, 3.0, 3.0, 0.1717, 0.8235, 0.3636, 0.05051, 0.1212, 0.2929, 0.1414, 0.1414, 0.08081, 0.0404, 0.08081, 0.09091, 0.0202, 0.06061, 1.0, 0.02, 0.5213, 1.774, 9.717, 6.421, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.864, 2.864, 0.2251, 2.0, 3.0, 2.0, 0.76, 1.0, 0.24, 0.0, 0.0, 0.0, 0.125, 0.5, 0.2988, 0.25, 0.67, 0.3582, 1.0, 0.119, 1.229, 5.656, 2.5, 2.0, 1.922, 0.05729, 0.04167, 0.03762, 0.1653, 0.1653, 0.1653, 0.2083, 0.2083, 0.143, 0.143, 0.125, 0.125, 0.0342, 0.0342, 0.0, 0.0, 26.0, 26.0, 43.0, 41.0, 1.049, 0.03418, 0.02972, 1.15, 0.06389, 0.007792, 8.115, 0.1538, 120.0, 120.0, 0.0, 17.46, 5.728, 0.2152, 0.1645, 0.1645, 0.04652, 0.04652, 0.02083, 0.2292, 0.1457, 0.04274, 0.13, 0.0, 26.0, 26.0, 43.0, 41.0, 1.049, 0.03418, 0.02972, 1.15, 0.06389, 0.007792, 8.115, 0.1538
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_12.mid",31.0, 12.0, 2.0, 0.0, 45.0, 0.01, 0.54, 0.45, 2.0, 2.0, 71.0, 5.0, 78.0, 6.0, 0.11, 0.16, 0.8182, 0.6875, 11.0, 6.0, 8.348, 3.393, 3.429, -0.3593, 0.0, 0.0, 6.077, 5.179, 5.131, 0.0, 59.0, 11.0, 67.0, 7.0, 2.0, 5.172, 6.0, 1.0, 0.1616, 0.75, 0.4545, 0.09091, 0.1212, 0.2828, 0.1818, 0.09091, 0.0, 0.06061, 0.1111, 0.09091, 0.0303, 0.06061, 0.8, 0.04, 0.5111, 1.636, 9.273, 6.244, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.941, 2.941, 1.355, 2.0, 3.0, 3.0, 0.74, 1.0, 0.26, 0.0, 0.0, 0.0, 0.125, 0.5, 0.2963, 0.25, 0.59, 0.4407, 1.0, 0.1289, 1.076, 5.346, 1.852, 1.0, 1.188, 0.05813, 0.04167, 0.0402, 0.1697, 0.1697, 0.1697, 0.2083, 0.2083, 0.142, 0.142, 0.1458, 0.1458, 0.0338, 0.0338, 0.0, 0.0, 27.0, 12.0, 41.0, 46.0, 1.122, 0.04493, 0.03333, 1.348, 0.07826, 0.00794, 13.17, 0.1667, 120.0, 120.0, 0.0, 17.0, 5.882, 1.4, 0.1602, 0.1602, 0.05682, 0.05682, 0.01042, 0.2604, 0.1411, 0.05212, 0.18, 0.0, 27.0, 12.0, 41.0, 46.0, 1.122, 0.04493, 0.03333, 1.348, 0.07826, 0.00794, 13.17, 0.1667
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_13.mid",29.0, 12.0, 2.0, 0.0, 36.0, 0.0, 0.36, 0.64, 4.0, 4.0, 73.0, 5.8, 77.0, 5.0, 0.1, 0.12, 0.9, 0.9167, 1.0, 1.0, 7.2, 3.022, 3.369, -0.85, -0.1986, -0.07125, 6.114, 5.176, 4.917, 0.0, 63.0, 3.0, 71.0, 11.0, 1.0, 3.96, 5.0, 1.0, 0.2323, 0.6087, 0.4141, 0.1414, 0.2323, 0.3333, 0.1515, 0.09091, 0.0404, 0.07071, 0.09091, 0.0303, 0.0101, 0.0404, 2.75, 0.01, 0.5647, 1.667, 7.647, 5.306, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.76, 2.76, 0.298, 2.0, 3.0, 2.0, 0.65, 1.0, 0.35, 0.0, 0.0, 0.0, 0.125, 0.5, 0.33, 0.25, 0.59, 0.5932, 1.0, 0.1288, 1.864, 4.743, 2.703, 3.0, 1.746, 0.06458, 0.0625, 0.04, 0.1225, 0.1225, 0.1225, 0.1667, 0.1667, 0.1354, 0.1354, 0.125, 0.125, 0.02417, 0.02417, 0.0, 0.0, 24.0, 20.0, 41.0, 49.0, 1.195, 0.04019, 0.03864, 1.04, 0.07883, 0.008192, 8.05, 0.2, 120.0, 120.0, 0.0, 18.11, 5.52, 0.1071, 0.1711, 0.1711, 0.04834, 0.04834, 0.05208, 0.3021, 0.159, 0.04658, 0.09, 0.0, 24.0, 20.0, 41.0, 49.0, 1.195, 0.04019, 0.03864, 1.04, 0.07883, 0.008192, 8.05, 0.2
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_14.mid",30.0, 12.0, 0.0, 0.0, 36.0, 0.05, 0.66, 0.29, 3.0, 3.0, 66.0, 4.95, 76.0, 0.0, 0.08, 0.14, 0.875, 0.8571, 16.0, 1.0, 7.755, 3.639, 3.448, -0.4372, 0.7833, 0.1131, 5.478, 4.891, 4.977, 0.0, 64.0, 4.0, 75.0, 3.0, 4.0, 5.364, 5.0, 2.0, 0.1313, 0.8462, 0.5455, 0.09091, 0.101, 0.2121, 0.2121, 0.09091, 0.07071, 0.08081, 0.06061, 0.08081, 0.0404, 0.06061, 0.6154, 0.04, 0.5222, 1.607, 9.393, 5.125, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.817, 2.817, 0.3173, 2.0, 3.0, 2.0, 0.76, 1.0, 0.24, 0.0, 0.0, 0.0, 0.125, 0.5, 0.2975, 0.25, 0.66, 0.3636, 1.0, 0.1202, 1.185, 5.639, 2.381, 2.0, 2.048, 0.05875, 0.0625, 0.03727, 0.1585, 0.1585, 0.1585, 0.2083, 0.2083, 0.1458, 0.1458, 0.1458, 0.1458, 0.02946, 0.02946, 0.0, 0.0, 26.0, 26.0, 44.0, 41.0, 1.073, 0.03374, 0.02914, 1.158, 0.06288, 0.007882, 8.346, 0.1923, 120.0, 120.0, 0.0, 17.75, 5.634, 0.4661, 0.1676, 0.1676, 0.05861, 0.05861, 0.01042, 0.2917, 0.1494, 0.05168, 0.16, 0.0, 26.0, 26.0, 44.0, 41.0, 1.073, 0.03374, 0.02914, 1.158, 0.06288, 0.007882, 8.346, 0.1923
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_15.mid",34.0, 12.0, 0.0, 0.0, 35.0, 0.22, 0.63, 0.15, 3.0, 3.0, 61.0, 5.33, 64.0, 2.0, 0.07, 0.11, 1.0, 1.0, 10.0, 4.0, 9.165, 3.432, 3.408, -0.4157, 0.2885, 0.3433, 5.524, 5.039, 5.001, 0.0, 70.0, 10.0, 59.0, 11.0, 1.0, 3.889, 5.0, 1.0, 0.1717, 0.9412, 0.4545, 0.1111, 0.1717, 0.3333, 0.2323, 0.07071, 0.0404, 0.0404, 0.09091, 0.05051, 0.0, 0.0303, 1.556, 0.02, 0.5, 1.66, 7.113, 6.188, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.837, 2.837, 0.1759, 2.0, 3.0, 2.0, 0.71, 1.0, 0.29, 0.0, 0.0, 0.0, 0.125, 0.5, 0.3137, 0.25, 0.64, 0.4531, 1.0, 0.1237, 1.546, 5.147, 2.083, 1.0, 1.686, 0.06396, 0.0625, 0.03875, 0.1152, 0.1152, 0.1152, 0.2083, 0.2083, 0.1402, 0.1402, 0.125, 0.125, 0.03371, 0.03371, 0.0, 0.0, 30.0, 21.0, 41.0, 47.0, 1.146, 0.03754, 0.03153, 1.19, 0.06907, 0.007807, 9.143, 0.1429, 120.0, 120.0, 0.0, 17.62, 5.674, 0.4428, 0.1659, 0.1659, 0.04539, 0.04539, 0.01042, 0.2396, 0.1559, 0.04207, 0.09, 0.0, 30.0, 21.0, 41.0, 47.0, 1.146, 0.03754, 0.03153, 1.19, 0.06907, 0.007807, 9.143, 0.1429
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_16.mid",34.0, 12.0, 0.0, 0.0, 40.0, 0.0, 0.41, 0.59, 5.0, 4.0, 74.0, 5.28, 79.0, 7.0, 0.08, 0.11, 0.875, 1.0, 5.0, 2.0, 8.448, 3.456, 3.627, 0.2273, 0.2431, 0.2316, 5.595, 4.877, 4.819, 0.0, 63.0, 3.0, 61.0, 1.0, 1.0, 4.606, 6.0, 1.0, 0.1515, 0.8667, 0.404, 0.07071, 0.1515, 0.2828, 0.1818, 0.08081, 0.1212, 0.09091, 0.07071, 0.05051, 0.0101, 0.0404, 1.0, 0.03, 0.5, 1.673, 8.2, 5.837, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.832, 2.832, 0.1816, 2.0, 3.0, 2.0, 0.74, 1.0, 0.26, 0.0, 0.0, 0.0, 0.125, 0.5, 0.3063, 0.25, 0.67, 0.3881, 1.0, 0.1197, 1.41, 5.44, 2.381, 1.0, 2.083, 0.06292, 0.0625, 0.03961, 0.1316, 0.1316, 0.1316, 0.25, 0.25, 0.1514, 0.1514, 0.1458, 0.1458, 0.03474, 0.03474, 0.0, 0.0, 27.0, 27.0, 41.0, 44.0, 1.073, 0.0349, 0.03035, 1.15, 0.06525, 0.007796, 10.74, 0.1852, 120.0, 120.0, 0.0, 17.66, 5.664, 0.3606, 0.1664, 0.1664, 0.04674, 0.04674, 0.01042, 0.2292, 0.1533, 0.04106, 0.09, 0.0, 27.0, 27.0, 41.0, 44.0, 1.073, 0.0349, 0.03035, 1.15, 0.06525, 0.007796, 10.74, 0.1852
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\title\midi\run6\run6_epoch3500_17.mid",33.0, 12.0, 1.0, 0.0, 41.0, 0.4, 0.58, 0.02, 2.0, 3.0, 57.0, 5.68, 57.0, 9.0, 0.1, 0.15, 0.7, 0.8, 5.0, 5.0, 9.059, 3.411, 3.335, 0.2517, -0.2815, 0.07196, 5.707, 5.034, 5.193, 0.0, 64.0, 4.0, 53.0, 5.0, 1.0, 4.859, 4.0, 3.0, 0.202, 0.55, 0.4343, 0.06061, 0.202, 0.303, 0.2121, 0.08081, 0.05051, 0.05051, 0.09091, 0.08081, 0.0202, 0.05051, 0.9091, 0.02, 0.5054, 1.603, 8.276, 5.841, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 100.0, 2.677, 2.677, 0.1629, 3.0, 4.0, 2.0, 0.7, 0.99, 0.3, 0.0, 0.0, 0.01, 0.125, 0.75, 0.3137, 0.25, 0.59, 0.4915, 1.0, 0.1359, 1.407, 5.802, 2.041, 1.0, 1.947, 0.05688, 0.0625, 0.03732, 0.1562, 0.1562, 0.1562, 0.2083, 0.2083, 0.1326, 0.1326, 0.125, 0.125, 0.0312, 0.0312, 0.0, 0.0, 28.0, 28.0, 41.0, 43.0, 1.049, 0.03215, 0.03215, 1.0, 0.06431, 0.007747, 7.464, 0.25, 120.0, 120.0, 0.0, 18.68, 5.354, 0.3928, 0.1771, 0.1771, 0.06184, 0.06184, 0.02083, 0.3229, 0.1576, 0.05756, 0.16, 0.0, 28.0, 28.0, 41.0, 43.0, 1.049, 0.03215, 0.03215, 1.0, 0.06431, 0.007747, 7.464, 0.25
