,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GB_Castlevania_2_Belmonts_Revenge_Final_Battle.mid",0.1802
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\HNK_KNKN_-_Armor_Battle_Theme.mid",0.1195
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\IoGfinal.mid",0.1405
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GPTB-1.mid",0.506
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\HNK_KNKN_-_Bridge_Battle_Theme.mid",0.1046
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\IX-Battle.mid",0.1626
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\JGFairybatt.mid",0.2625
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff9_412y.mid",0.2722
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\JGLOMIrwin.mid",0.7827
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Kaarena.mid",0.09766
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\dw2battleX.mid",0.1982
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\JILost_-_Gameboy_-_Zelda_4_-_Last_Boss.mid",0.1287
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\johto-gym-leader-battle.mid",0.138
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\k_rool_fight_intro.mid",0.2317
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Dragonball_Z_-_Trunks'_Theme.mid",0.1756
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Kai2Xg1.mid",0.1007
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\kbb-boss.mid",0.2156
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BL_ghgs_usualbattle.mid",0.05531
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\kdedede.mid",0.1801
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\DBZLSW_Battle_Theme.mid",0.1245
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\kbb-dedede.mid",0.1434
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\kdlboss.mid",0.1037
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\kssapfb.mid",0.2006
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ays3boss.mid",0.75
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\KickleCubicleBoss.mid",0.09964
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\KidNiki-Boss.mid",0.1257
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ktb-apbattle.mid",0.392
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\do1_bt.mid",0.3469
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff8_battle_techno.mid",0.2365
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\KishinDoujiZenki1-ChurchBoss.mid",0.3751
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\l2boss.mid",0.2551
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ctboss.mid",0.08013
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Bomberman64BattleRemix.mid",0.1248
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\champion_blue.mid",0.1024
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\L3_Sinistrals.mid",0.2644
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Lastboss.mid",0.114
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Laughter2.mid",0.09567
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\lb3_bt1.mid",0.1399
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\lb3_bt2-1.mid",0.1125
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\LegendofHeroes2_Battle1_GM.mid",0.169
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Lennus_Battle_Xg.mid",0.1476
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\LIPSBATT.mid",0.117
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\LODBATT2.mid",0.09273
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\LODPREP.mid",0.5229
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\LOLO3BOS.mid",0.1067
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\luf1boss.mid",0.5098
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\luf2batt.mid",0.4589
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\m64crse1.mid",0.1415
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Btowbtl2.mid",0.1481
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Luf2btl3.mid",0.4122
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\luf2sinistral2.mid",0.4219
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\lufia1_bt3.mid",0.1295
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\marx.mid",0.2791
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\dw1fight.mid",0.1767
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Lufia2_Sinistral_Battle_Xg.mid",0.4179
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\lufia2lastfortress.mid",0.07077
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Lufia3_Battle_Arr_Xg.mid",0.2646
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mm3_bt.mid",0.1072
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\16-BattleTheme.mid",1.327
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Lufiabat.mid",0.2393
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Master5.mid",0.1191
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Hammerhead-Bros.mid",0.3
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MadouMonogatariSNES_Battle.mid",0.1007
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Magi_Boss_Battle.mid",0.3432
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Magic_Sword_-_Enemy_Battle.mid",0.4109
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\actraiser_boss_battle_2.mid",0.1482
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\majoramaskmidboss.mid",0.1377
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Mana_Tree[1].mid",0.1239
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MK64bttl.mid",0.2305
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FF9_Boss_Battle_Big_Band_Arrangement_dw.mid",0.1902
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Mantis_Hymn.mid",2.953
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mbattle(v1.1).mid",0.1804
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Battle (3).mid",0.2238
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Mechanical_Battle.mid",0.08698
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mm8forte.mid",0.3327
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fls2_bbt.mid",0.3643
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\07_The_Battle.mid",0.5295
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MK2Battle_Plan.mid",0.4392
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MKR_Boss_Xg.mid",0.1204
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MKR_Missing_Colors_Battle_Arr_Xg.mid",0.2274
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Ml2wario.mid",0.143
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MM8_Boss_V1_3.mid",0.08333
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MML2_Bola_Battle.mid",0.0549
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\final_fantasy_battle.mid",0.1316
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\do1_lbt.mid",0.3146
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MML2_Klaymore_Battle.mid",0.08309
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FF5_b16.mid",0.4537
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7sboss.mid",0.1482
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\do2_bt.mid",0.313
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ffl3_bt2.mid",0.145
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FF5_battl.mid",0.1866
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\fm3_final.mid",0.4495
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\gb1.mid",0.6738
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\b2-batl.mid",0.5377
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff1battl.mid",0.2991
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Mnbossbt.mid",0.09643
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Btcvbtl1.mid",0.2854
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ffaboss.mid",0.2347
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Gbbattle.mid",0.1058
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MML2_Saul_Teasel_Battle.mid",0.1532
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mrpgmajr.mid",0.231
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mw-bat5.mid",0.1108
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BL_ghgs_battle.mid",0.1475
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mwbattle.mid",0.316
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bof3Garr.mid",0.2928
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MML2_Train_Battle.mid",0.2709
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MMX5_Boss-KM.mid",0.08374
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mmx5_maverickbat.mid",0.2298
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MMX5_Sigma_1st-KM.mid",0.2115
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mmx5_sigmafinal.mid",0.1027
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\NECBAT.mid",0.2341
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pebat.mid",0.3255
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\doubletrouble2.mid",0.3563
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ffl1_bt.mid",0.1965
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MMX6_Sigma_1st-KM.mid",0.2055
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bm64sirius_2.mid",1.47
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\mmx6sigmabattle1.mid",0.1218
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pk2orch.mid",0.1633
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff2dread.mid",0.3164
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Ghosts_N_Goblins-Duel.mid",0.2916
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\monstania_battle.mid",0.4795
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pkgslead.mid",0.138
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ffalb.mid",0.1234
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Final_Fantasy_II_-_Battle.mid",0.146
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pokeorch.mid",0.1135
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\dw2battle.mid",0.2115
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MotherBrainremix.mid",0.09375
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\dw6_battle.mid",0.1574
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\MysticArk_Mta_38.mid",0.1559
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Pkmnboss.mid",0.1891
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ChronoTrigger_FinalBattle.mid",0.1817
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Neclord_Battle.mid",0.1892
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\nekkestukd-bg7.mid",0.1245
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Night_Queen_by_fakt13.mid",0.2769
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pq1_bt2.mid",0.07429
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ff3jlbos.mid",0.2425
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\NES__Samurai_Zombie_Nation__Boss_Battle_3.mid",0.1339
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\odysselya2_bbt1.mid",0.5446
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\odysselya2_bt1.mid",0.1509
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FF1_Battle.mid",0.179
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\OgreBattle_Walls.mid",0.09016
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rattle.mid",0.1382
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FF8_Battle_Music.mid",0.6319
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\OLfantzoneboss.mid",0.1016
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Arc_the_Lad_3-Battle_4.mid",0.2104
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Battle_2_(Ver._X.X).mid",0.2133
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\OLfantzoneopaopa.mid",0.2546
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\OLlaserbattle.mid",0.1276
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rmplace.mid",0.3759
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Dragonballz3-Battletheme4.mid",0.1361
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Pandora_Battle_by_fakt13.mid",0.4269
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Paperminiboss.mid",0.152
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rs1_bt2.mid",0.4611
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Boss_(bad_timing).mid",0.4997
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\CTdemobattle.mid",0.4754
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\bowser_1.mid",0.3209
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Patlabor_Tr15.mid",0.2038
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Persona_1_Awakening_Battle_by_fakt13.mid",0.1005
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Persona_2_EP_Battle_by_fakt13.mid",0.2999
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Persona_2_Final_Battle_by_fakt13.mid",0.1321
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rs1_lbt.mid",0.1942
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\CB_-_The_Final_Battle.mid",0.192
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Dharmanyo2.mid",0.1278
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle1.mid",0.1881
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle2.mid",0.4278
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs1b.mid",0.1814
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Finalbatt-V1.2.mid",0.2321
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\F91bttl1.mid",0.1125
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Bof3boss.mid",0.3677
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle3.mid",0.2242
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle4.mid",0.2183
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle5.mid",0.2852
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle6.mid",0.251
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle7.mid",0.1253
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ebfinalbattle.mid",0.4813
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\AdventuresofArle_BattleTheme.mid",1.307
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\FinalFantasyMQ_FinalBattle.mid",0.547
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle8.mid",0.1703
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs2b.mid",0.186
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BodyHarvestBattleTheme.mid",0.1159
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmGS-Battle9.mid",0.1011
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rs2final.mid",0.5709
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Final_Battle.mid",0.1681
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMN_-_ChampionBattle.mid",0.1012
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BLEFConflict.mid",0.3507
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMN_CRYSTAL_ASH.mid",0.2422
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMN_ST_Mewtwo_Battle.mid",0.124
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\BattleMode.mid",0.4235
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PkmRB-Battle1.mid",0.1352
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Congo.mid",1.803
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMN_GS_LancePKMN_Trainer_Red.mid",0.1852
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\DV_-_Field_Battle.mid",0.3324
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMNTCG2_-_GreatRocketBattle.mid",0.2567
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PKMNTCG2_-_GreatRocketLeaderBattle.mid",0.158
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PM_Crystal_King-KM.mid",0.09857
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PM64TubbaBlub.mid",0.1899
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs3b.mid",0.1898
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Dharmanyo.mid",0.3155
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\GanondorfBattle.mid",0.1778
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PM64TutKoopa.mid",0.2169
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PMHuffNPuffv1-1.mid",0.1639
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\pokegymlorch.mid",0.1539
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Pokemon_GS.mid",0.2188
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\DV_-_Field_Battle_Arr.mid",0.1273
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\Pokemon_Puzzle_League_Team_Rocket.mid",0.4193
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs4b.mid",0.1773
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ppggbcs5b.mid",0.1474
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\rsaga203.mid",0.04808
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\7sbattle1.mid",0.1884
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ps4_vehicle_battle.mid",0.1132
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\ps4battle.mid",0.151
"F:\AlphaProject\_PythonML\MidiGAN\melodies\battle\PS4-KingOfTerrors.mid",0.2657
