,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_1.mid",0.01635
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_10.mid",0.02385
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_11.mid",0.02292
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_12.mid",0.02229
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_13.mid",0.01823
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_14.mid",0.01375
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_15.mid",0.01802
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_16.mid",0.01896
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_2.mid",0.01781
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_3.mid",0.0175
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_4.mid",0.02021
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_5.mid",0.01865
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_6.mid",0.01646
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_7.mid",0.01677
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_8.mid",0.02177
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch100_9.mid",0.02781
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_1.mid",0.1629
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_10.mid",0.1636
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_11.mid",0.1513
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_12.mid",0.1546
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_13.mid",0.147
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_14.mid",0.1698
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_15.mid",0.1561
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_16.mid",0.1585
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_2.mid",0.1392
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_3.mid",0.1527
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_4.mid",0.1543
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_5.mid",0.1604
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_6.mid",0.1483
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_7.mid",0.1587
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_8.mid",0.1469
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch1024_9.mid",0.1501
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_1.mid",0.009896
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_10.mid",0.01031
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_11.mid",0.01198
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_12.mid",0.01042
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_13.mid",0.01313
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_14.mid",0.01219
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_15.mid",0.01177
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_16.mid",0.01104
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_2.mid",0.01125
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_3.mid",0.009062
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_4.mid",0.01021
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_5.mid",0.01281
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_6.mid",0.009792
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_7.mid",0.01333
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_8.mid",0.01104
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch16_9.mid",0.01344
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_1.mid",0.1001
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_10.mid",0.09448
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_11.mid",0.09094
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_12.mid",0.08948
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_13.mid",0.07896
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_14.mid",0.1016
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_15.mid",0.08594
"F:\AlphaProject\_PythonML\MidiGAN\gan_results\conv_gan_1.1\battle\midi\run1\run1_epoch2048_16.mid",0.09354
