,Average_Note_Duration
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Title-Screen.mid",0.4221
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SNESChaChaTitle.mid",0.4263
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\archon_title.mid",0.2388
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Platoon-Title.mid",0.27
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\capkid1-02a.mid",0.2396
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mk2_zb_title_story.mid",0.9851
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_OmakeVGTitle_MVCStyle.mid",0.2
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\F-Zero.mid",0.1066
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Wizardry_I_Opening_Theme.mid",0.2232
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\cmmando.mid",0.2017
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\podrace.mid",0.2941
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\YITitle.mid",0.2256
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SBomb3-Title.mid",0.133
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Drrtitle.mid",0.2188
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MARIO.mid",0.1313
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\PkmRB-Title.mid",0.3526
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Title_Theme.mid",0.4703
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SC2KTitleScreen.mid",0.5705
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Ape_Escape_Title_DW.mid",0.09039
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\turok2gbtitle.mid",0.2498
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\btthememarimbav1-1.mid",0.0975
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\metroid_2_title_theme_rock_remix.mid",0.5333
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\ps3.mid",0.7589
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\pipe_dream.mid",0.1725
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Dd1th.mid",0.2451
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Magic_Sword_-_Title.mid",0.12
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\TITLE (4).mid",0.3493
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\alleywaytitlescreen.mid",0.1976
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\YS_Title.mid",0.1704
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Flickie_title.mid",0.1479
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\heavyint.mid",0.4719
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\tombraider3.mid",0.7663
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\SNES_Toki_Memo_Title.mid",0.2003
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\T_TekkamanGB_TitleScreen.mid",0.07154
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Dd-war.mid",0.19
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\sonknux.mid",0.13
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\nihonbare.mid",0.2826
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\mtp-flwr.mid",0.2291
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\BrutalTitle.mid",1.006
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\vball-titledemo.mid",0.1172
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\MM3_-_TitleArrangeXG.mid",0.302
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\aero.mid",0.09375
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\Main.mid",0.1673
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\simcity.mid",0.2273
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\dd2-title.mid",0.1849
"F:\AlphaProject\_PythonML\MidiGAN\melodies\title\COOKIE.mid",0.4425
